SensorID: 5417,
Firmware Version: 1.4.8,

mm-dd,hh:mm:ss,SmO2 Live,SmO2 Averaged,THb,Lap,Session Ct,
12-3,13:21:0,42,42,13,11,28,
12-3,13:21:0,42,42,12.99,11,28,
12-3,13:21:1,43,43,13.03,11,28,
12-3,13:21:1,42,42,13.06,11,28,
12-3,13:21:2,44,44,13.02,11,28,
12-3,13:21:2,44,44,12.97,11,28,
12-3,13:21:3,46,46,12.98,11,28,
12-3,13:21:3,46,46,12.99,11,28,
12-3,13:21:4,46,46,12.97,11,28,
12-3,13:21:4,46,46,12.99,11,28,
12-3,13:21:5,46,46,12.98,11,28,
12-3,13:21:5,48,48,13,11,28,
12-3,13:21:6,46,46,12.96,11,28,
12-3,13:21:6,46,46,12.97,11,28,
12-3,13:21:7,48,48,13,11,28,
12-3,13:21:7,47,47,12.98,11,28,
12-3,13:21:8,45,45,12.95,11,28,
12-3,13:21:8,46,46,13,11,28,
12-3,13:21:9,44,44,13.02,11,28,
12-3,13:21:9,46,46,13.01,11,28,
12-3,13:21:10,47,47,13.02,11,28,
12-3,13:21:10,46,46,12.98,11,28,
12-3,13:21:11,46,46,12.97,11,28,
12-3,13:21:11,46,46,13.04,11,28,
12-3,13:21:12,43,43,13.03,11,28,
12-3,13:21:12,44,44,12.99,11,28,
12-3,13:21:13,45,45,13,11,28,
12-3,13:21:13,43,43,12.98,11,28,
12-3,13:21:14,46,46,13.01,11,28,
12-3,13:21:14,45,45,12.99,11,28,
12-3,13:21:15,43,43,13,11,28,
12-3,13:21:15,45,45,13.05,11,28,
12-3,13:21:16,45,45,13.01,11,28,
12-3,13:21:16,44,44,13.04,11,28,
12-3,13:21:17,46,46,13.08,11,28,
12-3,13:21:17,45,45,12.99,11,28,
12-3,13:21:18,47,47,13.02,11,28,
12-3,13:21:18,46,46,13.01,11,28,
12-3,13:21:19,46,46,13.02,11,28,
12-3,13:21:19,47,47,12.98,11,28,
12-3,13:21:20,48,48,12.99,11,28,
12-3,13:21:20,48,48,12.97,11,28,
12-3,13:21:21,48,48,12.98,11,28,
12-3,13:21:21,48,48,12.98,11,28,
12-3,13:21:22,50,50,13,11,28,
12-3,13:21:22,49,49,12.98,11,28,
12-3,13:21:23,43,43,12.91,11,28,
12-3,13:21:23,48,48,12.98,11,28,
12-3,13:21:24,47,47,13,11,28,
12-3,13:21:24,47,47,12.98,11,28,
12-3,13:21:25,47,47,12.96,11,28,
12-3,13:21:25,47,47,12.99,11,28,
12-3,13:21:26,48,48,13.07,11,28,
12-3,13:21:26,46,46,13.02,11,28,
12-3,13:21:27,48,48,13.04,11,28,
12-3,13:21:27,48,48,13.02,11,28,
12-3,13:21:28,47,47,13,11,28,
12-3,13:21:28,46,46,12.99,11,28,
12-3,13:21:29,49,49,13.08,11,28,
12-3,13:21:29,48,48,13.08,11,28,
12-3,13:21:30,48,48,13.04,11,28,
12-3,13:21:30,49,49,13.03,11,28,
12-3,13:21:31,48,48,12.98,11,28,
12-3,13:21:31,49,49,13,11,28,
12-3,13:21:32,48,48,12.97,11,28,
12-3,13:21:32,48,48,12.97,11,28,
12-3,13:21:33,46,46,12.95,11,28,
12-3,13:21:33,48,48,12.97,11,28,
12-3,13:21:34,48,48,12.97,11,28,
12-3,13:21:34,47,47,12.96,11,28,
12-3,13:21:35,46,46,12.96,11,28,
12-3,13:21:35,47,47,12.99,11,28,
12-3,13:21:36,45,45,12.95,11,28,
12-3,13:21:36,46,46,12.98,11,28,
12-3,13:21:37,45,45,12.97,11,28,
12-3,13:21:37,49,49,13.05,11,28,
12-3,13:21:38,47,47,13.02,11,28,
12-3,13:21:38,45,45,12.99,11,28,
12-3,13:21:39,46,46,13,11,28,
12-3,13:21:39,46,46,13.01,11,28,
12-3,13:21:40,47,47,13.05,11,28,
12-3,13:21:40,47,47,13.06,11,28,
12-3,13:21:41,48,48,13.01,11,28,
12-3,13:21:41,48,48,12.98,11,28,
12-3,13:21:42,48,48,12.99,11,28,
12-3,13:21:42,49,49,13.01,11,28,
12-3,13:21:43,49,49,13.01,11,28,
12-3,13:21:43,48,48,12.98,11,28,
12-3,13:21:44,48,48,12.99,11,28,
12-3,13:21:44,48,48,13.01,11,28,
12-3,13:21:45,49,49,13.03,11,28,
12-3,13:21:45,50,50,13.02,11,28,
12-3,13:21:46,52,52,13.06,11,28,
12-3,13:21:46,50,50,13.04,11,28,
12-3,13:21:47,49,49,13,11,28,
12-3,13:21:47,50,50,13.05,11,28,
12-3,13:21:48,51,51,12.98,11,28,
12-3,13:21:48,47,47,13.01,11,28,
12-3,13:21:49,50,50,13.04,11,28,
12-3,13:21:49,50,50,13.01,11,28,
12-3,13:21:50,48,48,13,11,28,
12-3,13:21:50,50,50,13.04,11,28,
12-3,13:21:51,51,51,13,11,28,
12-3,13:21:51,53,53,13.03,11,28,
12-3,13:21:52,53,53,13.02,11,28,
12-3,13:21:52,52,52,12.98,11,28,
12-3,13:21:53,54,54,12.94,11,28,
12-3,13:21:53,54,54,12.93,11,28,
12-3,13:21:54,55,55,12.95,11,28,
12-3,13:21:54,55,55,12.94,11,28,
12-3,13:21:55,57,57,12.96,11,28,
12-3,13:21:55,55,55,13,11,28,
12-3,13:21:56,57,57,13.03,11,28,
12-3,13:21:56,55,55,12.93,11,28,
12-3,13:21:57,57,57,12.97,11,28,
12-3,13:21:57,57,57,13,11,28,
12-3,13:21:58,56,56,12.99,11,28,
12-3,13:21:58,57,57,13,11,28,
12-3,13:21:59,56,56,13.05,11,28,
12-3,13:21:59,56,56,12.96,11,28,
12-3,13:22:0,58,58,13.02,11,28,
12-3,13:22:0,56,56,13.03,11,28,
12-3,13:22:1,55,55,12.96,11,28,
12-3,13:22:1,56,56,12.99,11,28,
12-3,13:22:2,56,56,12.99,11,28,
12-3,13:22:2,55,55,12.99,11,28,
12-3,13:22:3,55,55,12.97,11,28,
12-3,13:22:3,57,57,12.96,11,28,
12-3,13:22:4,56,56,13.02,11,28,
12-3,13:22:4,55,55,13.02,11,28,
12-3,13:22:5,54,54,12.97,11,28,
12-3,13:22:5,54,54,13,11,28,
12-3,13:22:6,54,54,12.97,11,28,
12-3,13:22:6,53,53,12.95,11,28,
12-3,13:22:7,57,57,12.97,11,28,
12-3,13:22:7,57,57,13.01,11,28,
12-3,13:22:8,56,56,13.05,11,28,
12-3,13:22:8,54,54,12.99,11,28,
12-3,13:22:9,57,57,12.98,11,28,
12-3,13:22:9,54,54,12.99,11,28,
12-3,13:22:10,54,54,13.02,11,28,
12-3,13:22:10,53,53,13,11,28,
12-3,13:22:11,53,53,13.01,11,28,
12-3,13:22:11,52,52,13.02,11,28,
12-3,13:22:12,51,51,13,11,28,
12-3,13:22:12,52,52,13.01,11,28,
12-3,13:22:13,52,52,12.99,11,28,
12-3,13:22:13,52,52,13,11,28,
12-3,13:22:14,52,52,13,11,28,
12-3,13:22:14,50,50,12.96,11,28,
12-3,13:22:15,51,51,13.01,11,28,
12-3,13:22:15,50,50,13,11,28,
12-3,13:22:16,51,51,12.97,11,28,
12-3,13:22:16,54,54,13.02,11,28,
12-3,13:22:17,52,52,13.06,11,28,
12-3,13:22:17,51,51,12.98,11,28,
12-3,13:22:18,53,53,13,11,28,
12-3,13:22:18,51,51,13.01,11,28,
12-3,13:22:19,52,52,12.97,11,28,
12-3,13:22:19,54,54,13.04,11,28,
12-3,13:22:20,51,51,12.99,11,28,
12-3,13:22:20,53,53,12.99,11,28,
12-3,13:22:21,55,55,13.06,11,28,
12-3,13:22:21,53,53,12.98,11,28,
12-3,13:22:22,55,55,12.99,11,28,
12-3,13:22:22,54,54,13.01,11,28,
12-3,13:22:23,53,53,12.94,11,28,
12-3,13:22:23,55,55,12.97,11,28,
12-3,13:22:24,55,55,13.03,11,28,
12-3,13:22:24,54,54,12.95,11,28,
12-3,13:22:25,54,54,12.93,11,28,
12-3,13:22:25,56,56,13.01,11,28,
12-3,13:22:26,54,54,12.97,11,28,
12-3,13:22:26,55,55,12.96,11,28,
12-3,13:22:27,54,54,12.98,11,28,
12-3,13:22:27,54,54,13.01,11,28,
12-3,13:22:28,55,55,12.97,11,28,
12-3,13:22:28,53,53,13,11,28,
12-3,13:22:29,52,52,12.99,11,28,
12-3,13:22:29,53,53,12.96,11,28,
12-3,13:22:30,53,53,12.96,11,28,
12-3,13:22:30,53,53,12.99,11,28,
12-3,13:22:31,51,51,12.96,11,28,
12-3,13:22:31,52,52,12.96,11,28,
12-3,13:22:32,51,51,12.97,11,28,
12-3,13:22:32,50,50,13,11,28,
12-3,13:22:33,49,49,12.94,11,28,
12-3,13:22:33,50,50,12.97,11,28,
12-3,13:22:34,54,54,13.02,11,28,
12-3,13:22:34,52,52,13,11,28,
12-3,13:22:35,51,51,13.01,11,28,
12-3,13:22:35,52,52,13,11,28,
12-3,13:22:36,51,51,12.99,11,28,
12-3,13:22:36,49,49,12.98,11,28,
12-3,13:22:37,50,50,12.97,11,28,
12-3,13:22:37,51,51,12.97,11,28,
12-3,13:22:38,50,50,12.95,11,28,
12-3,13:22:38,52,52,12.96,11,28,
12-3,13:22:39,52,52,12.97,11,28,
12-3,13:22:39,52,52,13,11,28,
12-3,13:22:40,53,53,13,11,28,
12-3,13:22:40,54,54,13.03,11,28,
12-3,13:22:41,53,53,13.03,11,28,
12-3,13:22:41,51,51,12.94,11,28,
12-3,13:22:42,53,53,12.95,11,28,
12-3,13:22:42,54,54,12.98,11,28,
12-3,13:22:43,53,53,12.95,11,28,
12-3,13:22:43,54,54,12.96,11,28,
12-3,13:22:44,53,53,12.96,11,28,
12-3,13:22:44,54,54,12.97,11,28,
12-3,13:22:45,52,52,12.95,11,28,
12-3,13:22:45,52,52,12.96,11,28,
12-3,13:22:46,53,53,13.01,11,28,
12-3,13:22:46,50,50,13,11,28,
12-3,13:22:47,51,51,12.95,11,28,
12-3,13:22:47,52,52,12.98,11,28,
12-3,13:22:48,50,50,13.03,11,28,
12-3,13:22:48,53,53,13,11,28,
12-3,13:22:49,56,56,12.95,11,28,
12-3,13:22:49,56,56,12.94,11,28,
12-3,13:22:50,56,56,12.97,11,28,
12-3,13:22:50,56,56,12.98,11,28,
12-3,13:22:51,55,55,12.96,11,28,
12-3,13:22:51,54,54,12.96,11,28,
12-3,13:22:52,54,54,12.95,11,28,
12-3,13:22:52,53,53,12.94,11,28,
12-3,13:22:53,52,52,12.92,11,28,
12-3,13:22:53,53,53,12.97,11,28,
12-3,13:22:54,48,48,13.01,11,28,
12-3,13:22:54,48,48,13.02,11,28,
12-3,13:22:55,49,49,12.96,11,28,
12-3,13:22:55,51,51,13.05,11,28,
12-3,13:22:56,50,50,13.06,11,28,
12-3,13:22:56,51,51,13.01,11,28,
12-3,13:22:57,51,51,13.06,11,28,
12-3,13:22:57,53,53,13.09,11,28,
12-3,13:22:58,52,52,13.07,11,28,
12-3,13:22:58,52,52,13.07,11,28,
12-3,13:22:59,52,52,13.07,11,28,
12-3,13:22:59,52,52,13.07,11,28,
12-3,13:23:0,52,52,13.08,11,28,
12-3,13:23:0,52,52,13.07,11,28,
12-3,13:23:1,53,53,13.08,11,28,
12-3,13:23:1,53,53,13.08,11,28,
12-3,13:23:2,52,52,13.07,11,28,
12-3,13:23:2,50,50,13.03,11,28,
12-3,13:23:3,51,51,12.96,11,28,
12-3,13:23:3,52,52,12.97,11,28,
12-3,13:23:4,52,52,12.99,11,28,
12-3,13:23:4,53,53,12.94,11,28,
12-3,13:23:5,52,52,12.93,11,28,
12-3,13:23:5,52,52,12.96,11,28,
12-3,13:23:6,54,54,13.05,11,28,
12-3,13:23:6,53,53,13,11,28,
12-3,13:23:7,53,53,12.99,11,28,
12-3,13:23:7,53,53,12.99,11,28,
12-3,13:23:8,54,54,13,11,28,
12-3,13:23:8,54,54,12.98,11,28,
12-3,13:23:9,54,54,12.98,11,28,
12-3,13:23:9,54,54,12.98,11,28,
12-3,13:23:10,53,53,12.98,11,28,
12-3,13:23:10,53,53,12.96,11,28,
12-3,13:23:11,52,52,12.97,11,28,
12-3,13:23:11,54,54,12.99,11,28,
12-3,13:23:12,53,53,12.98,11,28,
12-3,13:23:12,52,52,12.95,11,28,
12-3,13:23:13,52,52,12.98,11,28,
12-3,13:23:13,53,53,13.01,11,28,
12-3,13:23:14,53,53,13,11,28,
12-3,13:23:14,51,51,12.98,11,28,
12-3,13:23:15,51,51,12.95,11,28,
12-3,13:23:15,49,49,12.96,11,28,
12-3,13:23:16,50,50,13.06,11,28,
12-3,13:23:16,50,50,13.04,11,28,
12-3,13:23:17,51,51,13.06,11,28,
12-3,13:23:17,51,51,13.05,11,28,
12-3,13:23:18,52,52,13.06,11,28,
12-3,13:23:18,55,55,13.07,11,28,
12-3,13:23:19,55,55,13.06,11,28,
12-3,13:23:19,56,56,13.03,11,28,
12-3,13:23:20,57,57,13.02,11,28,
12-3,13:23:20,57,57,12.98,11,28,
12-3,13:23:21,57,57,13.03,11,28,
12-3,13:23:21,58,58,12.99,11,28,
12-3,13:23:22,59,59,12.98,11,28,
12-3,13:23:22,58,58,13,11,28,
12-3,13:23:23,58,58,13.01,11,28,
12-3,13:23:23,59,59,12.96,11,28,
12-3,13:23:24,60,60,13.02,11,28,
12-3,13:23:24,60,60,13.01,11,28,
12-3,13:23:25,61,61,13.04,11,28,
12-3,13:23:25,60,60,12.99,11,28,
12-3,13:23:26,59,59,13.01,11,28,
12-3,13:23:26,59,59,13,11,28,
12-3,13:23:27,59,59,13,11,28,
12-3,13:23:27,58,58,12.99,11,28,
12-3,13:23:28,57,57,12.99,11,28,
12-3,13:23:28,57,57,12.97,11,28,
12-3,13:23:29,58,58,12.97,11,28,
12-3,13:23:29,56,56,13.03,11,28,
12-3,13:23:30,56,56,12.98,11,28,
12-3,13:23:30,56,56,12.96,11,28,
12-3,13:23:31,57,57,13.01,11,28,
12-3,13:23:31,55,55,12.97,11,28,
12-3,13:23:32,57,57,12.95,11,28,
12-3,13:23:32,56,56,12.99,11,28,
12-3,13:23:33,57,57,13.01,11,28,
12-3,13:23:33,57,57,13.06,11,28,
12-3,13:23:34,57,57,12.97,11,28,
12-3,13:23:34,57,57,12.96,11,28,
12-3,13:23:35,57,57,13,11,28,
12-3,13:23:35,57,57,12.95,11,28,
12-3,13:23:36,57,57,12.99,11,28,
12-3,13:23:36,57,57,12.96,11,28,
12-3,13:23:37,58,58,12.96,11,28,
12-3,13:23:37,57,57,13.07,11,28,
12-3,13:23:38,56,56,12.95,11,28,
12-3,13:23:38,56,56,12.99,11,28,
12-3,13:23:39,56,56,13.02,11,28,
12-3,13:23:39,56,56,12.95,11,28,
12-3,13:23:40,56,56,13,11,28,
12-3,13:23:40,58,58,12.95,11,28,
12-3,13:23:41,55,55,12.99,11,28,
12-3,13:23:41,56,56,12.94,11,28,
12-3,13:23:42,56,56,13.02,11,28,
12-3,13:23:42,57,57,12.97,11,28,
12-3,13:23:43,55,55,12.95,11,28,
12-3,13:23:43,55,55,12.98,11,28,
12-3,13:23:44,58,58,12.98,11,28,
12-3,13:23:44,57,57,13.03,11,28,
12-3,13:23:45,56,56,12.92,11,28,
12-3,13:23:45,58,58,12.94,11,28,
12-3,13:23:46,56,56,13,11,28,
12-3,13:23:46,58,58,12.96,11,28,
12-3,13:23:47,58,58,12.99,11,28,
12-3,13:23:47,56,56,12.93,11,28,
12-3,13:23:48,61,61,12.98,11,28,
12-3,13:23:48,59,59,13.03,11,28,
12-3,13:23:49,56,56,12.95,11,28,
12-3,13:23:49,60,60,12.95,11,28,
12-3,13:23:50,60,60,13.04,11,28,
12-3,13:23:50,56,56,12.96,11,28,
12-3,13:23:51,58,58,12.97,11,28,
12-3,13:23:51,55,55,13.03,11,28,
12-3,13:23:52,54,54,12.99,11,28,
12-3,13:23:52,55,55,12.97,11,28,
12-3,13:23:53,54,54,13.04,11,28,
12-3,13:23:53,54,54,12.96,11,28,
12-3,13:23:54,55,55,12.94,11,28,
12-3,13:23:54,53,53,12.9,11,28,
12-3,13:23:55,54,54,12.92,11,28,
12-3,13:23:55,54,54,12.92,11,28,
12-3,13:23:56,53,53,12.94,11,28,
12-3,13:23:56,54,54,12.95,11,28,
12-3,13:23:57,52,52,12.95,11,28,
12-3,13:23:57,50,50,12.92,11,28,
12-3,13:23:58,51,51,12.92,11,28,
12-3,13:23:58,52,52,12.95,11,28,
12-3,13:23:59,50,50,12.92,11,28,
12-3,13:23:59,50,50,12.92,11,28,
12-3,13:24:0,49,49,12.92,11,28,
12-3,13:24:0,49,49,12.93,11,28,
12-3,13:24:1,49,49,12.93,11,28,
12-3,13:24:1,48,48,12.94,11,28,
12-3,13:24:2,47,47,12.94,11,28,
12-3,13:24:2,47,47,12.94,11,28,
12-3,13:24:3,46,46,12.94,11,28,
12-3,13:24:3,46,46,12.95,11,28,
12-3,13:24:4,46,46,12.97,11,28,
12-3,13:24:4,43,43,13,11,28,
12-3,13:24:5,45,45,12.97,11,28,
12-3,13:24:5,44,44,12.93,11,28,
12-3,13:24:6,45,45,13,11,28,
12-3,13:24:6,43,43,12.96,11,28,
12-3,13:24:7,44,44,12.94,11,28,
12-3,13:24:7,44,44,13.01,11,28,
12-3,13:24:8,44,44,12.99,11,28,
12-3,13:24:8,46,46,12.97,11,28,
12-3,13:24:9,45,45,12.94,11,28,
12-3,13:24:9,46,46,12.97,11,28,
12-3,13:24:10,47,47,12.97,11,28,
12-3,13:24:10,46,46,12.98,11,28,
12-3,13:24:11,48,48,12.99,11,28,
12-3,13:24:11,48,48,12.98,11,28,
12-3,13:24:12,48,48,12.99,11,28,
12-3,13:24:12,49,49,13.06,11,28,
12-3,13:24:13,47,47,13.04,11,28,
12-3,13:24:13,48,48,13.01,11,28,
12-3,13:24:14,48,48,13,11,28,
12-3,13:24:14,48,48,13,11,28,
12-3,13:24:15,49,49,13,11,28,
12-3,13:24:15,51,51,13.02,11,28,
12-3,13:24:16,50,50,13.01,11,28,
12-3,13:24:16,50,50,12.99,11,28,
12-3,13:24:17,49,49,12.96,11,28,
12-3,13:24:17,49,49,12.97,11,28,
12-3,13:24:18,48,48,12.95,11,28,
12-3,13:24:18,48,48,12.97,11,28,
12-3,13:24:19,49,49,13.01,11,28,
12-3,13:24:19,50,50,13.07,11,28,
12-3,13:24:20,49,49,13.06,11,28,
12-3,13:24:20,49,49,13.01,11,28,
12-3,13:24:21,49,49,13.03,11,28,
12-3,13:24:21,48,48,13.01,11,28,
12-3,13:24:22,48,48,13.02,11,28,
12-3,13:24:22,48,48,13.02,11,28,
12-3,13:24:23,48,48,13.04,11,28,
12-3,13:24:23,47,47,13,11,28,
12-3,13:24:24,49,49,13.04,11,28,
12-3,13:24:24,49,49,13.02,11,28,
12-3,13:24:25,49,49,13,11,28,
12-3,13:24:25,48,48,13.02,11,28,
12-3,13:24:26,51,51,12.97,11,28,
12-3,13:24:26,50,50,12.98,11,28,
12-3,13:24:27,50,50,13.03,11,28,
12-3,13:24:27,50,50,13,11,28,
12-3,13:24:28,53,53,12.96,11,28,
12-3,13:24:28,51,51,12.97,11,28,
12-3,13:24:29,53,53,12.97,11,28,
12-3,13:24:29,55,55,12.97,11,28,
12-3,13:24:30,53,53,12.97,11,28,
12-3,13:24:30,53,53,12.97,11,28,
12-3,13:24:31,54,54,12.95,11,28,
12-3,13:24:31,54,54,13,11,28,
12-3,13:24:32,50,50,12.98,11,28,
12-3,13:24:32,51,51,12.93,11,28,
12-3,13:24:33,52,52,12.98,11,28,
12-3,13:24:33,51,51,12.96,11,28,
12-3,13:24:34,51,51,12.93,11,28,
12-3,13:24:34,51,51,13.03,11,28,
12-3,13:24:35,51,51,12.96,11,28,
12-3,13:24:35,51,51,12.96,11,28,
12-3,13:24:36,51,51,13.01,11,28,
12-3,13:24:36,50,50,12.93,11,28,
12-3,13:24:37,51,51,12.96,11,28,
12-3,13:24:37,49,49,12.96,11,28,
12-3,13:24:38,49,49,12.96,11,28,
12-3,13:24:38,50,50,12.97,11,28,
12-3,13:24:39,49,49,13.03,11,28,
12-3,13:24:39,49,49,13.01,11,28,
12-3,13:24:40,50,50,12.97,11,28,
12-3,13:24:40,48,48,13,11,28,
12-3,13:24:41,48,48,12.97,11,28,
12-3,13:24:41,47,47,12.97,11,28,
12-3,13:24:42,47,47,13,11,28,
12-3,13:24:42,47,47,13.03,11,28,
12-3,13:24:43,46,46,13,11,28,
12-3,13:24:43,48,48,12.95,11,28,
12-3,13:24:44,49,49,13.01,11,28,
12-3,13:24:44,46,46,12.97,11,28,
12-3,13:24:45,47,47,12.95,11,28,
12-3,13:24:45,49,49,13,11,28,
12-3,13:24:46,47,47,12.98,11,28,
12-3,13:24:46,48,48,12.96,11,28,
12-3,13:24:47,50,50,13.01,11,28,
12-3,13:24:47,47,47,13.01,11,28,
12-3,13:24:48,49,49,12.96,11,28,
12-3,13:24:48,48,48,12.99,11,28,
12-3,13:24:49,47,47,12.99,11,28,
12-3,13:24:49,48,48,12.99,11,28,
12-3,13:24:50,48,48,12.98,11,28,
12-3,13:24:50,47,47,13,11,28,
12-3,13:24:51,46,46,13.02,11,28,
12-3,13:24:51,45,45,13,11,28,
12-3,13:24:52,47,47,12.99,11,28,
12-3,13:24:52,45,45,13.02,11,28,
12-3,13:24:53,45,45,12.96,11,28,
12-3,13:24:53,46,46,12.98,11,28,
12-3,13:24:54,47,47,12.99,11,28,
12-3,13:24:54,47,47,13.02,11,28,
12-3,13:24:55,47,47,12.96,11,28,
12-3,13:24:55,50,50,12.98,11,28,
12-3,13:24:56,50,50,12.98,11,28,
12-3,13:24:56,49,49,12.97,11,28,
12-3,13:24:57,50,50,12.95,11,28,
12-3,13:24:57,52,52,12.96,11,28,
12-3,13:24:58,52,52,12.98,11,28,
12-3,13:24:58,53,53,13.02,11,28,
12-3,13:24:59,52,52,12.96,11,28,
12-3,13:24:59,52,52,12.98,11,28,
12-3,13:25:0,52,52,13.02,11,28,
12-3,13:25:0,52,52,12.94,11,28,
12-3,13:25:1,52,52,12.96,11,28,
12-3,13:25:1,53,53,13.04,11,28,
12-3,13:25:2,50,50,12.95,11,28,
12-3,13:25:2,52,52,12.94,11,28,
12-3,13:25:3,52,52,13,11,28,
12-3,13:25:3,50,50,12.96,11,28,
12-3,13:25:4,50,50,12.93,11,28,
12-3,13:25:4,52,52,12.97,11,28,
12-3,13:25:5,50,50,12.97,11,28,
12-3,13:25:5,52,52,12.93,11,28,
12-3,13:25:6,51,51,12.95,11,28,
12-3,13:25:6,51,51,13,11,28,
12-3,13:25:7,51,51,12.93,11,28,
12-3,13:25:7,50,50,12.94,11,28,
12-3,13:25:8,51,51,13,11,28,
12-3,13:25:8,48,48,12.95,11,28,
12-3,13:25:9,50,50,12.92,11,28,
12-3,13:25:9,50,50,12.96,11,28,
12-3,13:25:10,47,47,13,11,28,
12-3,13:25:10,48,48,12.96,11,28,
12-3,13:25:11,49,49,12.98,11,28,
12-3,13:25:11,48,48,13.02,11,28,
12-3,13:25:12,47,47,12.97,11,28,
12-3,13:25:12,47,47,12.96,11,28,
12-3,13:25:13,49,49,13.01,11,28,
12-3,13:25:13,48,48,12.95,11,28,
12-3,13:25:14,48,48,12.96,11,28,
12-3,13:25:14,47,47,12.96,11,28,
12-3,13:25:15,46,46,12.91,11,28,
12-3,13:25:15,47,47,13,11,28,
12-3,13:25:16,46,46,13,11,28,
12-3,13:25:16,48,48,12.99,11,28,
12-3,13:25:17,48,48,12.98,11,28,
12-3,13:25:17,47,47,12.96,11,28,
12-3,13:25:18,48,48,12.97,11,28,
12-3,13:25:18,49,49,12.99,11,28,
12-3,13:25:19,47,47,13,11,28,
12-3,13:25:19,48,48,12.98,11,28,
12-3,13:25:20,50,50,12.97,11,28,
12-3,13:25:20,48,48,12.98,11,28,
12-3,13:25:21,50,50,12.95,11,28,
12-3,13:25:21,51,51,13.01,11,28,
12-3,13:25:22,48,48,12.98,11,28,
12-3,13:25:22,53,53,12.98,11,28,
12-3,13:25:23,52,52,12.98,11,28,
12-3,13:25:23,51,51,12.97,11,28,
12-3,13:25:24,55,55,13.02,11,28,
12-3,13:25:24,51,51,13.04,11,28,
12-3,13:25:25,53,53,12.96,11,28,
12-3,13:25:25,51,51,13.03,11,28,
12-3,13:25:26,51,51,13.05,11,28,
12-3,13:25:26,53,53,12.99,11,28,
12-3,13:25:27,53,53,12.99,11,28,
12-3,13:25:27,52,52,12.99,11,28,
12-3,13:25:28,52,52,12.94,11,28,
12-3,13:25:28,54,54,13,11,28,
12-3,13:25:29,51,51,12.97,11,28,
12-3,13:25:29,52,52,12.96,11,28,
12-3,13:25:30,52,52,13.02,11,28,
12-3,13:25:30,53,53,12.95,11,28,
12-3,13:25:31,53,53,12.96,11,28,
12-3,13:25:31,52,52,13.02,11,28,
12-3,13:25:32,51,51,12.94,11,28,
12-3,13:25:32,53,53,12.97,11,28,
12-3,13:25:33,54,54,13.01,11,28,
12-3,13:25:33,53,53,13.02,11,28,
12-3,13:25:34,52,52,12.95,11,28,
12-3,13:25:34,53,53,12.95,11,28,
12-3,13:25:35,54,54,13,11,28,
12-3,13:25:35,51,51,12.97,11,28,
12-3,13:25:36,53,53,12.95,11,28,
12-3,13:25:36,53,53,13,11,28,
12-3,13:25:37,50,50,12.95,11,28,
12-3,13:25:37,51,51,12.93,11,28,
12-3,13:25:38,53,53,13,11,28,
12-3,13:25:38,51,51,12.94,11,28,
12-3,13:25:39,55,55,12.98,11,28,
12-3,13:25:39,52,52,13,11,28,
12-3,13:25:40,52,52,12.95,11,28,
12-3,13:25:40,56,56,13.03,11,28,
12-3,13:25:41,52,52,12.95,11,28,
12-3,13:25:41,54,54,12.96,11,28,
12-3,13:25:42,53,53,12.99,11,28,
12-3,13:25:42,53,53,12.96,11,28,
12-3,13:25:43,56,56,13.01,11,28,
12-3,13:25:43,51,51,12.97,11,28,
12-3,13:25:44,54,54,13,11,28,
12-3,13:25:44,54,54,12.99,11,28,
12-3,13:25:45,53,53,12.99,11,28,
12-3,13:25:45,56,56,13.02,11,28,
12-3,13:25:46,53,53,13,11,28,
12-3,13:25:46,54,54,12.97,11,28,
12-3,13:25:47,53,53,12.97,11,28,
12-3,13:25:47,53,53,12.95,11,28,
12-3,13:25:48,55,55,12.98,11,28,
12-3,13:25:48,53,53,12.95,11,28,
12-3,13:25:49,53,53,12.95,11,28,
12-3,13:25:49,54,54,12.98,11,28,
12-3,13:25:50,51,51,12.93,11,28,
12-3,13:25:50,53,53,12.95,11,28,
12-3,13:25:51,52,52,12.97,11,28,
12-3,13:25:51,52,52,12.94,11,28,
12-3,13:25:52,54,54,12.99,11,28,
12-3,13:25:52,51,51,12.96,11,28,
12-3,13:25:53,52,52,12.93,11,28,
12-3,13:25:53,51,51,12.98,11,28,
12-3,13:25:54,50,50,12.94,11,28,
12-3,13:25:54,53,53,12.95,11,28,
12-3,13:25:55,51,51,12.99,11,28,
12-3,13:25:55,53,53,12.95,11,28,
12-3,13:25:56,52,52,12.96,11,28,
12-3,13:25:56,51,51,12.99,11,28,
12-3,13:25:57,53,53,12.96,11,28,
12-3,13:25:57,52,52,13.01,11,28,
12-3,13:25:58,52,52,12.94,11,28,
12-3,13:25:58,54,54,12.98,11,28,
12-3,13:25:59,51,51,12.95,11,28,
12-3,13:25:59,52,52,12.97,11,28,
12-3,13:26:0,53,53,13,11,28,
12-3,13:26:0,52,52,12.94,11,28,
12-3,13:26:1,53,53,12.98,11,28,
12-3,13:26:1,52,52,12.98,11,28,
12-3,13:26:2,51,51,12.95,11,28,
12-3,13:26:2,53,53,12.99,11,28,
12-3,13:26:3,52,52,12.98,11,28,
12-3,13:26:3,51,51,13.03,11,28,
12-3,13:26:4,49,49,12.99,11,28,
12-3,13:26:4,50,50,12.99,11,28,
12-3,13:26:5,50,50,12.96,11,28,
